0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-0.3062972,-0.041658577,0.2531818,-0.26,0.0,0.38905853,-0.018673493,0.37270018,-0.26,0.0,-0.080369875,0.06216807,0.018766036,0.14765643,1.2310143,0.09053901,-0.2092851,-0.13683622,1.1128755
-0.30824056,-0.041204996,0.2535881,-0.26,0.0,0.38747773,-0.018733459,0.37150663,-0.26,0.0,-0.09046183,0.043356508,0.0104947435,0.14623904,1.2191763,0.09450559,-0.20898679,-0.13376856,1.1153604
-0.30927563,-0.04133525,0.2544646,-0.26,0.0,0.3857868,-0.019055003,0.37085903,-0.26,0.0,-0.07831271,0.062766016,0.019320609,0.14808431,1.2245609,0.092050694,-0.20751044,-0.12811038,1.1157769
-0.3100167,-0.041428078,0.25546217,-0.26,0.0,0.38457063,-0.019137809,0.37041542,-0.26,0.0,-0.077435754,0.06314856,0.020005168,0.14786108,1.2220107,0.092653446,-0.20702395,-0.12197561,1.1167198
-0.31034255,-0.041306447,0.25637266,-0.26,0.0,0.38444498,-0.018871255,0.3701,-0.26,0.0,-0.07678063,0.06394462,0.02078483,0.14786494,1.2199866,0.093030095,-0.20661224,-0.116451085,1.116846
-0.31031108,-0.04088358,0.2571011,-0.26,0.0,0.38531396,-0.018339653,0.36967504,-0.26,0.0,-0.08817441,0.044283926,0.0122698415,0.14622101,1.2096338,0.09650737,-0.20675287,-0.11311248,1.1176606
-0.3103085,-0.04019208,0.25767106,-0.26,0.0,0.3869159,-0.01765812,0.36908478,-0.26,0.0,-0.07536299,0.06660971,0.02178218,0.15031451,1.217398,0.09305159,-0.20522508,-0.11092908,1.1157056
-0.31079727,-0.03938396,0.2579056,-0.26,0.0,0.38947544,-0.017026775,0.36838394,-0.26,0.0,-0.08666841,0.046472307,0.012798398,0.14958008,1.2084368,0.096119404,-0.20497145,-0.11102647,1.1160079
-0.3112937,-0.03868381,0.25781208,-0.26,0.0,0.3923415,-0.016512979,0.3676454,-0.26,0.0,-0.073241875,0.06900566,0.022365542,0.15272333,1.217557,0.092539504,-0.20303044,-0.11227167,1.1133219
-0.31161657,-0.038106203,0.25744912,-0.26,0.0,0.39501327,-0.01617657,0.36680514,-0.26,0.0,-0.083911344,0.048906144,0.013631138,0.15083219,1.2089221,0.09571364,-0.20281006,-0.11467081,1.1130614
-0.31174523,-0.037624985,0.25697267,-0.26,0.0,0.39726985,-0.016021585,0.36586684,-0.26,0.0,-0.08204554,0.049938217,0.013975134,0.15185562,1.2097263,0.09554831,-0.20215139,-0.11657418,1.111545
-0.31134722,-0.037473112,0.25651664,-0.26,0.0,0.39911103,-0.016171485,0.36511227,-0.26,0.0,-0.06783041,0.071484216,0.022848953,0.15676488,1.2205269,0.09201676,-0.20122944,-0.11767221,1.1089224
-0.31029773,-0.03786931,0.2561998,-0.26,0.0,0.40066186,-0.016584042,0.3649578,-0.26,0.0,-0.077518664,0.050227284,0.014071766,0.15725712,1.214871,0.095199876,-0.20236604,-0.11916721,1.108865
-0.30905846,-0.03871538,0.2560921,-0.26,0.0,0.40191695,-0.016966477,0.36546165,-0.26,0.0,-0.07521628,0.049885478,0.014608568,0.15817948,1.2184219,0.095384866,-0.20299996,-0.120749764,1.1071339
-0.30811414,-0.039714005,0.25633836,-0.26,0.0,0.40271208,-0.017086845,0.36659107,-0.26,0.0,-0.07317555,0.049320154,0.015422214,0.15777855,1.2221037,0.09573192,-0.20384985,-0.12274108,1.1051911
-0.3074955,-0.040605955,0.25721642,-0.26,0.0,0.40274733,-0.016727218,0.36828372,-0.26,0.0,-0.061040808,0.06713632,0.023711737,0.15834735,1.2331687,0.092956334,-0.20412183,-0.12503868,1.10198
-0.30689865,-0.041363496,0.25872654,-0.26,0.0,0.40207824,-0.016005987,0.3703703,-0.26,0.0,-0.070231944,0.048750304,0.017366607,0.15461758,1.2279224,0.09611307,-0.20587729,-0.12978292,1.100748
-0.30613953,-0.042115092,0.26084858,-0.26,0.0,0.40079594,-0.01501632,0.3728803,-0.26,0.0,-0.060273692,0.06457219,0.024783373,0.15338598,1.2371615,0.09284456,-0.2058857,-0.13702773,1.096507
-0.30640608,-0.042362876,0.2628256,-0.26,0.0,0.39905116,-0.0140772145,0.37495428,-0.26,0.0,-0.060521703,0.06370227,0.025337286,0.15049972,1.2391543,0.09226811,-0.20649616,-0.1457049,1.0927447
