0,1,2
0.015272927,-0.1058961,1.0546318
0.015341062,-0.10568687,1.0545938
0.015426034,-0.105328485,1.0546033
0.015521966,-0.104918554,1.054604
0.015632229,-0.10447372,1.0545923
0.015762765,-0.10398382,1.054557
0.015918575,-0.10345254,1.0545012
0.016097542,-0.102892004,1.0544121
0.016272873,-0.10238483,1.0543576
0.016428446,-0.10191523,1.0543295
0.016544603,-0.10147272,1.0542982
0.016586881,-0.101053484,1.0542576
0.016547663,-0.10064762,1.0542207
0.016454961,-0.10029938,1.054225
0.016339425,-0.099954106,1.0542339
0.016229818,-0.09958221,1.054233
0.016128067,-0.099190444,1.0542028
0.01604887,-0.098828234,1.0541562
0.016003024,-0.098448455,1.0539652
0.01600325,-0.09822439,1.0538385
0.01602663,-0.09815954,1.0537894
0.016062632,-0.09822756,1.0537797
0.016104948,-0.09837048,1.0537772
0.01615046,-0.09852811,1.0537698
0.016187275,-0.09866712,1.0537606
0.016209701,-0.0987731,1.0537583
0.016209638,-0.09889521,1.053781
0.016199276,-0.0990787,1.0538253
0.016197877,-0.09932994,1.0538589
0.016192028,-0.09964438,1.0538982
0.01615854,-0.09999139,1.0539327
0.01609438,-0.10037081,1.0539571
0.016022848,-0.100791,1.0539783
0.015964175,-0.101260036,1.0539966
0.015928997,-0.10178076,1.0540136
0.015910544,-0.102330096,1.0540315
0.01588277,-0.10285435,1.0540559
0.01582027,-0.103318974,1.0540897
0.015730908,-0.103744656,1.0541251
0.0156389,-0.10414969,1.0541573
0.015549066,-0.104529046,1.0541899
0.015450379,-0.104859844,1.0542299
0.015334958,-0.105138265,1.0542763
0.015200391,-0.105364904,1.0543251
0.015058363,-0.105565906,1.0543803
0.014924005,-0.10581078,1.0544561
0.014795868,-0.10620856,1.0545548
0.014656844,-0.10682329,1.054683
0.014475403,-0.10769563,1.0549016
0.014273629,-0.10883299,1.0552179
0.014046092,-0.11036455,1.0556053
0.013751776,-0.112535976,1.0560735
0.013341812,-0.11544078,1.0566111
0.012801962,-0.118944384,1.0573486
0.012097798,-0.12297064,1.0581135
0.011189424,-0.12750521,1.0589756
0.010211681,-0.13250709,1.0596164
0.009203502,-0.13775837,1.0600202
0.008347018,-0.14286041,1.0599575
0.0071253497,-0.14783391,1.0598028
0.005817272,-0.15270542,1.0596051
0.004391248,-0.15748554,1.0593634
0.002864887,-0.16212204,1.0590909
0.0012928969,-0.16647829,1.0587546
-0.00030834868,-0.1703247,1.0583354
-0.0019155263,-0.1735059,1.0578579
-0.0033474811,-0.17600684,1.0573483
-0.0044311355,-0.17797981,1.0568522
-0.0051220725,-0.1796357,1.056431
-0.00531271,-0.18101959,1.0560802
-0.0050530247,-0.181348,1.0561485
-0.004109266,-0.18183604,1.0558745
-0.002617141,-0.18187477,1.0555096
-0.00048368296,-0.18143749,1.0549335
0.002285235,-0.18045598,1.0542485
0.005553657,-0.17884323,1.0536996
0.009163363,-0.17648281,1.0533799
0.013106034,-0.17320372,1.0531592
0.017556075,-0.16910991,1.05286
0.022651905,-0.16439626,1.0524352
0.02838711,-0.15914279,1.0519258
0.034826193,-0.15356514,1.0514367
0.041897185,-0.1478274,1.0512336
0.047629666,-0.14359313,1.0519649
0.05571378,-0.13642013,1.0525998
0.06460721,-0.13043074,1.0538929
0.0737651,-0.12513368,1.0557027
0.082825534,-0.12026694,1.0576911
0.09153432,-0.11565492,1.0596054
0.09980296,-0.111424305,1.0614398
0.10766839,-0.10746447,1.0632694
0.11380714,-0.10369978,1.0646776
0.118626036,-0.100442536,1.065559
0.121986635,-0.097806126,1.0659138
0.1237689,-0.09591542,1.0658815
0.12390346,-0.09483197,1.0656238
0.122337,-0.094647035,1.0651469
0.119040824,-0.09551571,1.0643812
0.11399056,-0.09757909,1.0633096
0.10720293,-0.100988396,1.0619855
0.09881161,-0.10595588,1.0604591
0.08908411,-0.11269358,1.0586826
0.07855624,-0.12116494,1.0565491
0.068004906,-0.13084777,1.0541321
0.058188844,-0.14098686,1.0517411
0.04999097,-0.15062761,1.0497291
0.044363376,-0.15806812,1.0482168
0.04079235,-0.16416138,1.0472068
0.040367875,-0.16783161,1.0470626
0.041193742,-0.16861218,1.0467107
0.04196704,-0.16700485,1.0459524
0.04174637,-0.163587,1.0452719
0.039931316,-0.15921043,1.0453042
0.036709756,-0.15431914,1.0460935
0.03243512,-0.14892182,1.0476968
0.02765579,-0.14329788,1.0502096
0.022904104,-0.13782617,1.0532585
0.018304484,-0.13269916,1.0560147
0.013959272,-0.12802449,1.0578969
0.009972586,-0.12383525,1.0589807
0.0062366473,-0.11995958,1.0596217
0.0025780094,-0.11632255,1.0600308
-0.0011119099,-0.113021635,1.0603056
-0.004821879,-0.110114954,1.0604519
-0.008575189,-0.107555784,1.0604873
-0.01239171,-0.10523252,1.0605408
-0.01618559,-0.10301442,1.0607302
-0.019868322,-0.100869425,1.0610801
-0.02341762,-0.09876797,1.0615025
-0.026915867,-0.09676476,1.0618699
-0.030467708,-0.09493095,1.0622299
-0.03386478,-0.09345913,1.0625904
-0.03678333,-0.09261724,1.062791
-0.039182305,-0.09254351,1.0626233
-0.04106701,-0.09331991,1.0618398
-0.04251747,-0.09486757,1.0604755
-0.043672774,-0.09706488,1.0590142
-0.044759903,-0.09947972,1.0582677
-0.045570437,-0.1018502,1.0586542
-0.045987036,-0.10410443,1.0598994
-0.04614074,-0.10636717,1.0614601
-0.04590294,-0.1088947,1.0628
-0.045135763,-0.11175289,1.063539
-0.043892086,-0.114817895,1.0636009
-0.042310584,-0.11790379,1.0632486
-0.04047079,-0.12074005,1.0628495
-0.038380112,-0.12306036,1.0625753
-0.03603667,-0.12482519,1.0622481
-0.03355775,-0.12592384,1.0616604
-0.031004922,-0.12626135,1.0607508
-0.028267765,-0.12606715,1.0596583
-0.025362538,-0.1256252,1.0586112
-0.02227068,-0.1251021,1.0577544
-0.018969703,-0.124466024,1.0571864
-0.0155082755,-0.123858005,1.0568504
-0.011928295,-0.12362273,1.056687
-0.008248309,-0.123814344,1.0566834
-0.0044483626,-0.12440083,1.0568671
-0.00061488233,-0.125157,1.0572975
0.0031243209,-0.12581968,1.0578635
0.006716774,-0.12634172,1.0583342
0.010185058,-0.1267871,1.0586985
0.013489538,-0.12730235,1.0589898
0.016478598,-0.12800431,1.0592932
0.019026687,-0.12880659,1.0596908
0.021079954,-0.12951788,1.060126
0.022653092,-0.13001516,1.0604886
0.02375517,-0.13024592,1.0606937
0.024358677,-0.13018861,1.0607462
0.024508236,-0.12993175,1.0606291
0.02430534,-0.12956552,1.0602036
0.023817303,-0.12909062,1.0594308
0.023171227,-0.12852192,1.0585977
0.022555048,-0.12793788,1.0581138
0.02207051,-0.12716582,1.0582293
0.021461613,-0.12673232,1.0582359
0.020730875,-0.12634727,1.0581975
0.01989827,-0.12602705,1.058161
0.019100921,-0.12579128,1.0580965
0.018449249,-0.12562615,1.0579226
0.017968655,-0.12554923,1.0577201
0.01761057,-0.12552933,1.0575832
0.017303135,-0.12556049,1.0575106
0.017023096,-0.12566538,1.0575013
0.016764103,-0.12581593,1.0575303
0.016501877,-0.12594377,1.0575882
0.016186956,-0.12600143,1.0576397
0.015787603,-0.1259917,1.0576131
0.01532978,-0.12596877,1.0574893
0.014858153,-0.12601602,1.0573305
0.014390454,-0.12619063,1.0572315
0.013913697,-0.12648976,1.0572342
0.013418932,-0.12685631,1.0573212
0.01291664,-0.12718533,1.0574365
0.012426543,-0.12736134,1.0575413
0.011979267,-0.1273943,1.0575916
0.0115903225,-0.12730476,1.0575833
0.011230682,-0.12705237,1.0575609
0.010788266,-0.12662038,1.0575926
0.010489048,-0.12610029,1.0574186
0.010220288,-0.12560296,1.0573541
0.009980658,-0.12514171,1.0573176
0.00974677,-0.1247206,1.0572803
0.009500808,-0.124346435,1.0572194
0.009254774,-0.12404434,1.0571604
0.0090832375,-0.12387895,1.0571524
0.009035834,-0.12383929,1.0571468
